Author,first,ID
Abraham,Brian,55652299900
Anton,Brian,7004980579
Appleton,Evan,55247140700
Azizi,Elham,55779242100
Beane,Jennifer,6701403096
Becker,Elizabeth,57210447195
Bhutkar,Arjun,8942355400
Bishop,Eric,36679660200
Blake,William,36781580500
Bohnuud,Tanggis,55325409400
Bray,David,57208337681
Brenke,Ryan,14629955500
Briars,Emma,57197854631
Briers,Demarcus,57193094915
Brockman,J.,8729171700
Brothers,John,36547326300
Burroughs,Alexander,35593621000
Byrd,Allyson,56388494800
Byrne,David,55364019400
Campbell,Joshua,37099704700
Carrasco,Pro,56015096500
Chang,Yi,35214454100
Chen_Hao,Hao,57200631744
Chen_Rong,Rong,57188838762
Cherukuri,Praveen,6507941191
Chevalier,Aaron,56708233400
Chiu,Hsuanchao,26767638000
Chung,Jaeyoon,55470448500
Clodfelter,Karl,6603235553
Collins,Sara,55385437100
Comeau,Stephen,6602518420
Corbett,Sean,57193500402
Coulombe-Huntington,Jasmin,15044058600
Cui,Jike,36808172300
Derti,Adnan,6507643009
DiMucci,Demetrius,57218937397
Ding,Chunming,8931706500
Dreyfuss,Jonathan,12243429100
Driscoll,Michael,9637832700
Dumitriu,Alexandra,35101901700
Eichler,Gabriel,6603820860
Eslami,Rasekh,57192890447
Faith,Jeremiah,8720989600
Faits,Tyler,41861111300
Faller,Lina,57192681753
Farrell,John,55568523240
Federico,Anthony,57209908343
Flanigon,James,26531013600
Franzosa,Eric,25625992800
Frith,Martin,13407194500
Fu_Yu,Yutao,7404433553
Fu_Yutao,Yu,57193354260
Fusaro,Vincent,6603308224
Garamszegi,Sara,54400931400
George,Elizabeth,37063252100
Gerrein,Joseph,16066756400
Gindin,Yevgeniy,37109684600
Glotova,Irina,57205460423
Goldford,Joshua,57201733294
Gomes,Antonio,55620529100
Gower,Adam,7006264081
Granger,Brian,54408424200
Greenbaum,Jay,8588416000
Guido,Nicholas,12345574200
Gurinovich,Anastasia,57193133830
Gusenleitner,Daniel,36995300700
Gustafson,Adam,14832562900
Haas,Brian,8894467100
Halees,Anason,6507087082
Hansen,Loren,57206609824
Harrison,Rhonda,7403906530
Haverty,Peter,7202101726
Hayete,Boris,8251882000
Heilbut,Adrian,6507265100
Hernandez,Yozen,26664496400
Hijazi,Kahkeshan,24721173700
Hogan,John,57118954600
Hong,Rui,57221313933
Hu_Han,Lan,57188734053
Hu_Lan,Han,55369456000
Huang,Chialing,35214805900
Hung,Juihung,35215095900
Hwang,Howook,23027287600
Isaacs,Farren,6701742303
Iyer,Sowmya,55353295500
Jacobs,Christopher,57195941777
Jenkins,David,56915262900
Kar,Amrita,57381746700
Karagiannis,Tanya,57209908566
Karaoz,Ulas,6506761153
Karlsson,Elinor,9839207000
Kartha,Vinay,56191625400
Keenan,Jessica,57208328068
Kishore,Dileep,57209908806
Klein,Joshua,56978566800
Klitgord,Niels,9238332900
Labadorf,Adam,35622079600
LaBarre,Brenna,54793089500
Lancour,Daniel,57201896002
Landon,Melissa,7103383479
Laramie,Jason,6506580346
Lee,Soohyun,57208764474
Leyfer,Dmitriy,7801383060
Li_Amy,Amy,57217320831
Li_Jian-Liang,Jian-Liang,55720829900
Linghu,Bolan,18134345500
Lorenz,David,57191491429
Loving,Joshua,55859047600
Luna,Augustin,57217576878
Luo,Lingqi,56486642400
Lyubetskaya,Anna,57217935505
Mak,Denise,57220434589
Maxwell,Evan,57217799116
Mazumdar,Varun,25958237100
McMurry,Andrew,57193978645
Melia,Tisha,56291795100
Mellor,Joseph,7103106882
Meng,Yan,57679324500
