,Author,first,ID,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
1,Bishop,Eric,36679660200,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,0,0,0,0,0,0,0
2,Blake,William,36781580500,0,0,0,0,0,2,1,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,Brockman,J.,8729171700,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Brothers,John,36547326300,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,0,0,0
5,Burroughs,Alexander,35593621000,0,0,0,0,0,0,0,1,3,3,4,2,1,5,5,5,8,4,2,5,2,4,6,4
6,Byrd,Allyson,56388494800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,2,3,2,2,2
7,Campbell,Joshua,37099704700,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,4,6,3,6,6,11
8,Cherukuri,Praveen,6507941191,0,0,0,0,0,0,0,1,1,1,0,1,3,7,5,4,3,1,1,0,0,0,1,0
9,Chiu,Hsuanchao,26767638000,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
10,Clodfelter,Karl,6603235553,0,0,0,0,2,1,1,2,3,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0
11,Corbett,Sean,57193500402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0
12,Coulombe-Huntington,Jasmin,15044058600,0,0,0,0,0,0,0,0,1,2,0,2,0,0,2,0,1,1,2,3,2,3,2,8
13,Derti,Adnan,6507643009,0,1,0,2,1,1,0,0,1,0,2,0,2,1,2,0,2,3,0,0,0,1,1,0
14,Ding,Chunming,8931706500,0,0,0,0,0,2,7,5,5,4,3,4,1,0,3,3,3,2,1,1,3,2,4,5
15,Dreyfuss,Jonathan,12243429100,0,0,0,0,0,0,0,0,1,1,1,5,3,4,3,3,0,5,5,6,2,8,4,6
16,Eichler,Gabriel,6603820860,0,0,0,0,0,2,1,2,4,2,2,1,1,1,1,0,0,0,2,0,0,0,0,0
17,Faith,Jeremiah,8720989600,0,0,0,0,0,2,0,2,1,2,1,2,3,3,1,3,2,8,2,2,8,9,9,11
18,Faller,Lina,57192681753,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,1,1,1,0,0
19,Franzosa,Eric,25625992800,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,4,3,8,9,6,7,7,4,8
20,Frith,Martin,13407194500,0,0,0,1,2,3,7,4,11,4,3,4,3,6,4,2,6,3,3,5,6,4,5,7
21,George,Elizabeth,37063252100,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0
22,Gerrein,Joseph,16066756400,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0
23,Glotova,Irina,57205460423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
24,Goldford,Joshua,57201733294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,2,3,2
25,Granger,Brian,54408424200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,0,0
26,Greenbaum,Jay,8588416000,0,0,0,0,0,2,0,1,0,4,4,5,3,3,6,9,2,6,5,3,8,4,6,3
27,Guido,Nicholas,12345574200,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,1,0,0
28,Gustafson,Adam,14832562900,0,0,0,0,0,0,2,2,2,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0
29,Harrison,Rhonda,7403906530,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Heilbut,Adrian,6507265100,0,0,1,0,1,1,0,0,0,2,0,2,0,2,2,0,1,0,0,1,0,0,0,0
31,Hogan,John,57118954600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,1
32,Huang,Chialing,35214805900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0
33,Hung,Juihung,35215095900,0,0,0,0,0,0,0,0,2,0,1,1,3,6,5,4,2,4,6,10,1,1,3,3
34,Isaacs,Farren,6701742303,0,0,0,2,0,1,2,2,2,0,0,2,1,1,3,2,6,8,8,2,5,2,1,7
35,Jenkins,David,56915262900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,0,2
36,Karlsson,Elinor,9839207000,0,0,0,0,1,0,1,4,0,4,4,2,3,4,1,3,3,4,0,1,4,6,10,5
37,Kartha,Vinay,56191625400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,3,3,1
38,Klein,Joshua,56978566800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,7,4,2,3
39,Labarre,Brenna,54793089500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1
40,Lancour,Daniel,57201896002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0
41,Landon,Melissa,7103383479,0,0,0,0,2,0,0,2,3,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0
42,Laramie,Jason,6506580346,0,0,0,1,2,0,2,3,3,4,5,2,0,2,1,0,1,0,1,2,0,1,1,2
43,Leyfer,Dmitriy,7801383060,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0
44,Li,Jian-Liang,55720829900,0,1,0,0,0,1,0,1,2,2,1,3,2,1,4,5,5,4,7,9,5,8,6,14
45,Meng,Yan,57679324500,0,0,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Miles,Gregory,55236323000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0
47,Morgan,Richard,57207790706,1,0,3,1,2,1,1,1,1,0,1,3,1,1,3,1,2,1,5,2,5,4,0,6
48,Mottarella,Scott,55324573100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,2,1,0,0,0,0
49,Nogiec,Christopher,55812616900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
50,Parikh,Jignesh,24376721100,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,2,1,1,0,0,0,0,0
51,Park,Richard,7401895887,0,0,0,0,0,0,2,0,1,0,0,1,2,3,3,1,1,1,0,0,0,0,0,0
52,Peter,Matthias,7202101726,3,3,7,5,8,7,15,19,3,11,13,13,12,13,16,11,21,15,12,11,6,2,1,0
53,Prasad,Jahnavi,7102569495,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
