Author,first,ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Anton,Brian,7004980579,0,0,0,0,0,0,3,1,0,0,2,4,1,1,2,3,3,3,5,3,2,6,2,7
Atherton,Kathryn,57223193937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Azizi,Elham,55779242100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,1,1,3,1,2
Beane,Jennifer,6701403096,0,0,0,1,0,0,5,1,2,2,2,2,0,1,1,0,0,2,4,2,0,6,1,6
Becker,Elizabeth,57210447195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Bohnuud,Tanggis,55325409400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,4,0,1,0,1
Brenke,Ryan,14629955500,0,0,0,0,0,0,0,0,1,2,1,5,1,1,3,0,0,0,0,0,0,0,0,0
Briars,Emma,57197854631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Briers,Demarcus,57193094915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Chang,Yi,35214454100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,2,0,0,0,0,0
Chevalier,Aaron,56708233400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,1
Collins,Sara,55385437100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
Cui,Jike,36808172300,0,0,0,0,0,0,0,1,1,3,4,2,5,2,1,0,1,0,0,0,0,0,0,0
Dimucci,Demetrius,57218937397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Driscoll,Michael,9637832700,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumitriu,Alexandra,35101901700,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,0,1,0,3,0,2,1,0,0
Federico,Anthony,57209908343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
