Author,first,ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Abraham,Brian,55652299900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,7,6,11,10,3,6,6
Appleton,Evan,55247140700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,0,1,6
Bhutkar,Arjun,8942355400,0,0,0,0,0,0,0,2,1,3,2,0,1,4,2,1,5,3,5,9,5,4,5,3
Borders,Nathaniel,57217185859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bray,David,57208337681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Byrne,David,55364019400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Carrasco Pro,Sebastian,56015096500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3,1,1,2
Chen,Hao,57200631744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0
Chen,Rong,57188838762,0,0,0,0,0,0,0,0,1,2,3,2,10,7,13,7,3,7,11,8,5,6,2,9
Chung,Jaeyoon,55470448500,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,0,2,0,1,2,3,7,7,4
Clayton,Samantha,57206192333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Comeau,Stephen,6602518420,0,0,0,0,0,1,2,2,1,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0
Cornelius,Ryan,57219091203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eslami,Marzieh,57192890447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Faits,Tyler,41861111300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1
Farrell,John,55568523240,0,0,0,0,0,2,1,5,3,0,1,0,1,2,1,1,2,1,4,2,3,6,5,2
Garamszegi,Sara,54400931400,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,1,1,0,1,0,0,0
Gower,Adam,7006264081,0,0,0,0,1,1,1,1,1,6,2,2,3,4,1,3,4,3,6,5,5,2,1,4
Gurinovich,Anastasia,57193133830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,4,0,4
Gusenleitner,Daniel,36995300700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,1,3,0,2,2
Haas,Brian,8894467100,1,3,3,1,3,8,3,15,6,10,12,3,5,10,13,8,3,5,1,8,3,2,2,4
Halees,Anason,6507087082,0,0,0,0,1,1,4,0,0,3,1,1,0,1,0,2,0,1,2,0,1,0,0,0
Hernández,Yözen,26664496400,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,1,0,2,2
Hijazi,Kahkeshan,24721173700,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,2,1,0
Hong,Rui,57221313933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hu,Lan,57188734053,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Hwang,Howook,23027287600,0,0,0,0,0,0,0,0,0,1,1,1,2,4,1,3,4,1,1,1,0,0,0,0
